Continente,Pais,Suma de Población,Esperanza de vida,Promedio de Mortalidad infantil
África,Nigeria,185989640,53.4,98.8
África,Etiopía,102403196,62.2,95.32
Asia,Pakistán,193203476,67.7,72.44
Asia,India,1324171354,68.5,56.29
Asia,Filipinas,103320222,69.2,23.51
Asia,Federacion Rusa,144342396,70.3,15.39
Asia,Indonesia,261115456,72.7,35.6
Asia,Bangladés,162951560,73.2,62.6
América,Brasil,207652865,73.8,29.61
Asia,China,1378665000,75.5,24.18
América,México,127540423,75.9,20.91
América,Estados Unidos,323127513,79.8,6.5
Asia,Japón,126994511,85,3.26
